,min,max,median,skew,kurt,sd,var,dfa,corr,hurst,entropy,asoc,adf,ac,be,cam,cbm,flm,flmn,llm,llmn,lsam,lsbm,mlfp,mac,ma,mc,msdc,prdad,prvav,rvntsl,srdp,srv,vltsd,ac_150,ac_200,ac_250,ac_300,lyapr
2110,-276.0,23.0,-99.0,-0.3100117708270527,-0.7290497840003975,75.79029462165326,5744.168758837002,1.738649289969058,0.6372166704922531,1.0051365746396126,0.018362028344643597,2652.0,1.0770860347462434,0.9749415551969115,4.15999304791068,1497.0,1156.0,0.08367885412740295,0.9984922728986053,0.08405578590275165,0.9996230682246513,1278.0,1005.0,301.76938364698924,1.0,5.995055178832564,-0.10407239819004525,0.0,0.7633333333333333,0.973237843950245,0.11307953260459856,-266513.0,-26884,True,0.9616805408592674,0.9511040756095379,0.9420866416546377,0.9334864683665273,0.006073675299049271
2111,-342.0,-1.0,-207.0,0.42317335180836074,-0.7681461480134272,91.3376352893252,8342.563620245786,1.6785058438225229,0.8822704586657977,1.026092508176637,0.020950032453932958,1903.0,-1.8181861627057787,0.9809673850882357,4.340358263047057,719.0,1185.0,0.0,0.9658613445378151,0.004726890756302504,0.9737394957983193,670.0,714.0,303.80868785586404,1.0,5.6507975820146,-0.17498686284813453,0.0,0.7923976608187134,0.9627100840336135,0.1796218487394958,-352806.0,-49565,True,0.9642662695995211,0.9463436373272951,0.9273289798889154,0.9039626263400758,0.0057682471167772986
2112,-21.0,6.0,-8.0,0.15988349805208774,-0.8807957941271032,6.425939148146812,41.292693935685776,1.540938492556348,1.1653794189965703,1.005993981786649,0.38709449846335964,631.0,-2.6434484593865104,-0.3522658199526436,3.207396490649244,302.0,330.0,0.14715189873417722,0.8386075949367089,0.22784810126582278,0.8433544303797469,107.0,99.0,17.444344111630304,1.0,3.329170427870597,-0.00792393026941363,0.0,1.0,1.0,0.04430379746835443,-4726.0,-210,True,-0.42602029500670585,0.167261596633465,0.6242083043563674,0.2519102759743485,0.06787735813266632
2113,-35.0,85.0,6.0,0.24863596772130067,-1.5248905146948242,37.38187392640699,1397.4044982497867,1.5954833494007363,0.8228007499466049,1.0184790256785687,0.04578211898197836,1158.0,-0.5266639120877641,0.8688276940714387,4.234003447872589,488.0,671.0,0.8921484037963762,0.45211389128559104,0.8930112165660051,0.45297670405522006,488.0,671.0,-19.841557545123276,1.0,5.301746582123918,0.05181347150259067,0.000864304235090752,0.859504132231405,0.9853321829163072,0.10440034512510785,24090.0,2511,True,0.7613236997803072,0.6421323013788559,0.518749896759726,0.3923076857362225,0.01794176227168022
2114,-26.0,24.0,4.0,-0.456659534957976,-0.4586954277413391,11.480617281846277,131.80457317222738,1.6938444660416272,0.8376365475745849,1.0179308820326682,0.17739724873948357,638.0,-0.8899942338700839,0.4191559547510621,3.6996138183979013,334.0,305.0,0.7652582159624414,0.3114241001564945,0.8169014084507042,0.31298904538341155,234.0,241.0,136.34032436827343,1.0,4.4865007695865415,0.025078369905956112,0.0,0.9803921568627451,0.9984350547730829,0.07981220657276995,2076.0,-25,True,0.13789001573113313,-0.04694982766282061,-0.3650333034020668,-0.7500161286564122,0.013021817576358929
2115,-26.0,36.0,8.0,-0.4126166115591418,-0.2564083168941072,13.606255558708579,185.13019032888812,1.629685063173297,0.93151157721626,0.9864973585536401,0.1994887129435519,917.0,-0.7633892723799349,0.32491102002123057,3.8706549899476514,506.0,412.0,0.6655773420479303,0.9226579520697168,0.6666666666666667,0.9237472766884531,233.0,205.0,4.576806323210833,1.0,4.310443908188517,-0.018538713195201745,0.0,0.9682539682539683,0.9978213507625272,0.06862745098039216,5989.0,305,True,-0.2992048712706116,-0.8002573970274025,-0.7878652263850028,-0.45799604170964464,0.030270013031698705
2116,-26.0,241.0,112.0,-0.18426818884362997,-0.9925888729801463,74.7455038055273,5586.890339142096,1.6097854741929707,0.7950881204584065,0.9957364320394755,0.02138299324315945,4771.0,-1.1790855577431731,0.9833538280040396,4.361090389271453,2450.0,2322.0,0.816848281642917,0.0836127409891031,0.8174769488683991,0.08382229673093045,2268.0,1844.0,200.98635700723534,1.0,6.71378465354121,0.03500314399496961,-0.00020964360587002095,0.9738805970149254,0.9985331098072087,0.056160938809723386,526167.0,28359,True,0.9714843940856825,0.9589090537903667,0.9470054058338749,0.9377887831132777,0.007175252840011135
2117,-19.0,82.0,28.0,0.0002561802313440115,-1.2286097225989536,24.535874882558243,602.0091562525524,1.5642138403279293,0.9480689423070351,1.0019935735445804,0.09848858229304437,4080.0,-1.4369910191623056,0.8391191078531802,4.443020429671645,1963.0,2118.0,0.9887282528791963,0.6782651310953198,0.9889732908600833,0.6794903209997549,1277.0,1303.0,75.43409630541179,1.0,5.58236924234627,0.016176470588235296,-0.00024515812699190976,0.9901960784313726,0.999754962019113,0.024993874050477823,126053.0,3131,True,0.7406159861668729,0.6447272548745909,0.5518189071999654,0.456192368974111,0.04550590273132897
2118,-9.0,42.0,23.0,-0.36413084588212635,-0.9299284522226609,12.441790781529376,154.79815785134934,1.5254205487213433,0.9148249680468182,1.014132321834235,0.19671503535765533,1221.0,-1.9570696460057906,0.8005415669120781,3.7743669150805985,694.0,528.0,0.8011456628477905,0.01800327332242226,0.8036006546644845,0.020458265139116194,523.0,404.0,26.16498377864525,1.0,5.094841276312825,0.0171990171990172,0.0,1.0,1.0,0.0425531914893617,25549.0,858,True,0.7418130421894111,0.7101189996535103,0.6555149426421791,0.64866535384971,0.01697384442313249
2119,-10.0,169.0,107.0,-0.7920026904832537,-0.770403068166659,48.257579422918674,2328.7939717593035,1.5136323225829365,0.6904819157432196,1.0005789476049758,0.03407254516341057,1898.0,-0.6638054701055515,0.9445321773736227,3.9626846599923256,1288.0,611.0,0.9994734070563455,0.0468667719852554,1.0,0.04739336492891,1288.0,611.0,135.41729648830477,1.0,5.592745426819504,0.08851422550052687,0.0,0.7444444444444445,0.9757767245918905,0.0947867298578199,159050.0,10122,True,0.9025593302653976,0.8558076168596209,0.8035740960824621,0.7606096263238955,0.01521228661355096
